400,88.7921,20.561,7.8399,14.4482,8.44066,22.0328,62.2386,46.1082,57.2072,58.6791,22.8889,21.8376,8.75605,6.68344,9.59712,36.1657,27.9653,0,0,0,0,0,0,0,293.065,400,176.238,108.625,105.153,107.795,75.7853,41.6865,27.064,17.203,20.5514,25.1901,57.63,117.748,125.213,80.8847,45.7108,15.6363,6.32824,3.37916,1.4131,0.983027,0.184318,0,8.81653,0,3.45737,9.84471,20.0996,32.6399,30.0615,36.7419,112.101,290.595,335.716,400,334.837,372.575,311.984,249.458,221.623,225.784,129.036,76.5309,84.0316,89.6572,43.5394,19.0448,7.67653,12.8333,0
1.92182,0.698843,0.698843,0.786198,0.960908,1.13562,1.5724,30.487,105.962,111.291,400,3.75628,0.960908,0.698843,1.65975,2.09653,6.72636,4.62983,0,0,0,0,0,0,0,23.6805,29.1013,36.5193,37.9458,50.4993,53.3523,62.7675,58.2026,62.1969,48.5021,76.1769,244.223,400,247.932,231.669,193.153,161.484,76.4622,36.2339,14.5506,8.84451,2.85307,0.85592,-1.19209e-07,7.98859,1.52672,0,4.19847,8.77863,43.5114,111.45,155.344,252.29,303.053,316.031,400,351.908,317.557,221.756,113.359,59.1603,25.1908,29.0076,14.1221,12.5954,14.8855,16.0305,14.8855,11.0687,98.855,0
400,1.76119,3.81153,0.972596,2.47092,0.893737,2.49721,27.3116,352.842,6.1773,1.84005,2.15548,0.236578,1.05146,10.0414,0.998883,9.09509,0.184005,0,0,0,0,0,0,0,400,18.3172,11.4483,8.53618,7.06902,4.13471,4.84606,4.46816,5.20173,7.69145,11.1815,21.0515,89.6077,85.5174,12.8265,3.33444,1.35601,0.355674,0.155607,0,0.0222296,0,0,0,0,0,0,0,0,1.72484,19.4627,30.2313,19.2063,10.5355,9.48663,18.7868,73.0027,68.0147,11.6543,3.72939,3.19329,4.19556,4.24218,4.40534,5.26776,7.62193,8.3445,12.4468,15.407,400,0
70.1336,137.241,258.646,400,198.498,93.041,78.8361,63.6501,154.993,96.2488,108.506,39.7766,11.8952,6.71749,5.02679,11.7292,32.2968,14.0312,0,0,0,0,0,0,0,155.097,366.915,400,337.891,281.993,206.507,165.741,135.082,113.508,84.3301,60.3753,37.2545,28.2563,18.7205,13.3655,9.95282,8.82256,4.88313,3.52244,3.25908,2.35927,0.921761,0.768134,4.76837e-07,19.324,5.18773,9.64877,25.6358,49.1421,86.7178,102.422,131.944,167.854,226.514,233.357,236.799,210.012,173.325,98.365,57.9027,33.5789,24.9596,13.9887,9.24506,5.85386,3.98668,1.07994,2.38419e-07,0.968914,400,0
38.9425,28.8517,6.29667,0.661958,1.13824,1.04137,1.49344,0.621594,1.7114,3.14833,16.113,400,165.828,47.8063,30.4258,29.7316,39.2008,12.0121,0,0,0,0,0,0,0,134.437,400,397.586,224.916,197.038,129.309,91.8731,62.4767,59.2657,42.9869,40.7218,37.4362,42.8127,37.8594,38.5065,43.2358,51.4748,42.066,37.8345,35.3205,35.2956,24.7418,6.69571,0,8.26385,0,3.22723,18.3908,36.2511,69.5844,103.581,126.923,116.313,124.492,128.028,138.019,133.466,145.004,122.237,145.491,184.792,276.746,341.998,366.357,317.86,374.58,400,265.031,286.737,285.279,0
109.153,108.739,246.045,400,113.065,62.4209,59.9531,79.672,162.827,45.326,10.6755,6.31784,9.03553,2.93635,3.91253,6.45061,36.7669,17.1417,0,0,0,0,0,0,0,82.2351,109.91,186.624,235.912,296.969,321.784,400,362.744,216.552,107.09,70.5456,44.3463,34.1592,18.9114,6.32578,1.73959,0.856616,0.474433,0.237217,0.197681,0.0395361,0.10543,0.0395361,0,0.158144,0,2.07041,30.4822,76.8718,153.518,152.042,157.331,157.495,176.211,143.904,134.105,119.961,138.861,131.318,135.52,135.048,152.124,159.668,183.057,196.484,216.676,246.83,308.225,176.17,400,0
9.77039,2.73951,3.15651,1.59409,3.33069,16.7696,10.2349,8.97334,33.3122,400,129.29,3.87437,1.41462,1.29322,3.71074,1.21932,3.8427,4.16469,0,0,0,0,0,0,0,37.5799,8.05072,4.98378,5.09191,3.59776,0.815885,0.383368,0.0196595,0.599627,0,0.953504,1.71041,3.70589,3.54861,3.96147,4.79701,7.97208,13.6145,30.9447,54.4382,97.11,112.13,127.504,135.172,400,32.7398,20.913,11.4515,8.12604,8.79811,22.2135,67.6093,236.126,400,95.9675,9.6273,2.74068,1.92895,1.44017,1.86785,2.0686,2.62721,1.08231,0,0.811731,2.13843,2.12097,1.37907,3.56114,62.9222,0
47.8298,33.3515,33.2736,6.38978,1.97927,1.65199,0.467545,4.25466,5.00273,12.4055,400,367.989,311.447,64.9264,37.9335,30.1878,43.4972,11.2678,0,0,0,0,0,0,0,169.969,286.309,257.531,166.422,135.659,122.582,105.297,217.285,400,98.4866,35.493,20.0047,14.4479,10.1442,7.49586,5.81698,6.88106,4.80019,3.26318,2.95578,2.43556,1.30054,0.922204,1.19209e-07,29.4869,61.3549,143.875,189.57,69.4296,95.1216,80.1957,55.3601,65.3923,133.965,197.584,111.148,0,61.8443,348.922,400,175.378,131.029,315.033,365.193,332.161,386.359,226.457,81.9697,36.7029,40.2508,0
23.7847,46.0007,36.3158,6.24677,0.892396,0.300597,0.140905,0.563618,0.272416,0.41332,2.46113,34.1083,23.8317,400,0.873609,4.24593,33.3474,1.82237,0,0,0,0,0,0,0,400,210.469,116.826,50.1964,48.0321,34.1964,37.3868,27.1743,18.1002,12.4248,7.5992,5.06613,9.2986,3.59118,6.07615,1.71543,5.64329,1.44289,4.16834,2.66132,1.63527,2.66132,0.593186,0,42.9178,338.225,255.877,224.067,312.732,385.017,152.173,61.3837,29.406,32.4249,26.6108,24.71,34.6611,106.834,71.5583,34.3256,34.5493,73.1796,92.0755,115.723,257.442,299.371,400,88.1062,55.4018,0,0
309.514,162.112,16.7744,5.67163,4.56937,2.02415,3.18653,11.8242,20.1212,123.994,400,168.786,67.5986,18.0169,13.2271,17.1552,28.8592,17.8165,0,0,0,0,0,0,0,360.989,260.966,216.224,228.611,400,205.778,214.467,228.426,259.025,259.764,247.654,198.197,179.431,160.481,119.344,78.1142,119.991,156.228,263,257.176,99.0987,9.98383,8.87451,0,143.009,88.555,400,148.209,70.1112,50.1441,24.0016,10.1688,14.9444,43.7629,56.4018,65.6649,56.0313,79.4154,93.8658,88.6785,71.2227,58.872,14.6151,2.51132,0,8.48085,4.8168,15.6443,28.8184,108.399,0
